Winner,Score,Rounds,Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
Player 342,11200,16,,,,,
Player 346,10500,19,,,,,
Player 351,10350,17,,,,,
Player 358,10800,14,,,,,
Player 365,13050,22,,,,,
Player 368,10100,19,,,,,
Player 375,10100,20,,,,,
Player 376,10550,16,,,,,
Player 381,10250,17,,,,,
Player 386,11050,26,,,,,
Player 393,11500,19,,,,,
Player 400,10850,20,,,,,
Player 404,10900,16,,,,,
Player 406,10150,15,,,,,
Player 411,10050,15,,,,,
Player 418,11600,23,,,,,
Player 423,11900,12,,,,,
Player 430,10200,18,,,,,
Player 434,11400,16,,,,,
Player 436,10200,19,,,,,
Player 444,10250,17,,,,,
Player 447,11900,19,,,,,
Player 453,10900,8,,,,,
Player 458,11400,24,,,,,
Player 465,10200,14,,,,,
Player 466,11700,21,,,,,
Player 473,11250,14,,,,,
Player 479,10850,18,,,,,
Player 484,10600,21,,,,,
Player 488,11600,20,,,,,
Player 494,10300,15,,,,,
Player 499,10300,14,,,,,
Player 503,10000,20,,,,,
Player 506,10050,16,,,,,
Player 512,10400,17,,,,,
Player 520,10350,19,,,,,
Player 522,10000,12,,,,,
Player 526,11500,23,,,,,
Player 534,10650,14,,,,,
Player 539,12500,16,,,,,
Player 544,10000,16,,,,,
Player 547,10450,12,,,,,
Player 555,10000,17,,,,,
Player 558,10100,17,,,,,
Player 565,10350,16,,,,,
Player 570,10900,14,,,,,
Player 575,10050,20,,,,,
